product_id,product_name,product_detail,company,sector,weight_kg,carbon_footprint,country,year
2377-1-2015,Graphite 2500 DECT,A Digital Enhanced Cordless Telecommunications (DECT) phone,BT Group,"Computer, IT & telecom",1.4,4.7,United Kingdom,2015
2377-2-2015,Home Hub 2.0,A wireless gateway router providing wireless internet access in domestic properties (a final product).,BT Group,"Computer, IT & telecom",1.1,57.0,United Kingdom,2015
2377-3-2015,Home Hub 3.0,A wireless gateway router providing wireless internet access in domestic properties (a final product).,BT Group,"Computer, IT & telecom",1.2,33.0,United Kingdom,2015
2377-4-2015,Vision+ box,A Freeview box and digital TV recorder in a single unit,BT Group,"Computer, IT & telecom",1.7,88.0,United Kingdom,2015
2555-1-2014,Carbon Black,Metric ton of carbon black (all grades produced at all manufacturing locations),Cabot Corporation,Chemicals,1000.0,2280.0,USA,2014
2688-1-2014,Multi Function Printer,"Canon Multi Function Printers produce easily copy, scan and print important documents in a convenient, easy to use machine.",Canon Inc.,"Computer, IT & telecom",71.0,39.0,Japan,2014
2688-2-2014,Multi Function Printer with a built-in facsimile,"Canon Multi Function Printers produce easily copy, scan, fax and print important documents in a convenient, easy to use machine.",Canon Inc.,"Computer, IT & telecom",30.98,57.0,Japan,2014
2688-3-2014,Digital camera,"Shoot high-quality digital photos with Canon PowerShot digital cameras. Canon PowerShot cameras offer the best in digital camera technology, style and ease of use. Canon's optics, DIGIC processor and stunning design make PowerShot digital cameras the best choice for photographers at any level.",Canon Inc.,"Computer, IT & telecom",0.553,13.0,Japan,2014
2688-4-2014,Single Lens Reflex camera system,"The Canon EOS Camera System is the most complete Single Lens Reflex (SLR) camera system in the world. Whether you are a beginner or advanced professional looking for a digital camera, the EOS System takes your photography to the next level.",Canon Inc.,"Computer, IT & telecom",1.53,19.0,Japan,2014
2802-1-2014,Ingeo,Ingeo--biopolymer (polylactid) made from corn starch,Cargill,Food & Beverage,1.0,1.3,USA,2014
28843-1-2014,Series 29/388 Squat Hydrant,"The series 29 Squat Hydrant is suitable for use with water and neutral liquids, to a maximum temperature of 70 degrees centigrade. This product complies with requirements of BS750:2006 and BSEN1074-2:2004 and EN14339:2005, underground hydrants. Also to BS EN 1074-6 for potable (drinking) water. This product has kitemark and WRAS approval. The 2938832112 replaces the 2928832112.",AVK,Comm. equipm. & capital goods,13.0,30.05,United Kingdom,2014
28843-3-2014,Series 555/300 Gate Valve,"The series 555 cast iron softseal valve, PN16, is a double-faced, resilient seat wedge gate valve. It is designed primarily for the isolation of natural gas and towns gas. Kitemark approved for GIS/V7 part 1.",AVK,Comm. equipm. & capital goods,23.0,33.44,United Kingdom,2014
28843-4-2014,Series 21/50 Gate Valve,"The series 21/50 is a resilient seat gate valve to BS EN 1074-2 / BS 5163-1,(ductile iron) for isolation purposes, suitable for use with water and neutral liquids (sewage) to a maximum temperature of up to +70°C.",AVK,Comm. equipm. & capital goods,41.0,62.63,United Kingdom,2014
28843-5-2014,Series 202/31 Repair Clamp,"The series 202/31 Supacollar is a multiple band repair clamp, for all ferrous pipes, PVC and AC.",AVK,Comm. equipm. & capital goods,7.0,57.07,United Kingdom,2014
28921-1-2016,See attached sheet,Canned tomato products,Pacific Coast Producers,Food & Beverage,907.19,187.161,USA,2016
28933-1-2013,Ecoworx Carpet Tile with Shaw's Eco Solution Q Nylon 6 face fiber,[same as product_name],"Shaw Industries Group, Inc.","Home durables, textiles, & equipment",0.267906666666667,14.6,USA,2013
28991-1-2016,PET preforms for bottles,"PET preforms are dedicated for production of plastic bottles which are formed by using the blow moulding technology. Producers of soft drinks, mineral water, juices, beer and edible oils use this safe and handly PET packing for their products.",Retal,Packaging for consumer goods,0.03,0.0108,Lithuania,2016
2908-1-2014,SPEEDIA N3600,Page Printer,"Casio Computer Co., Ltd.","Home durables, textiles, & equipment",45.0,2344.0,Japan,2014
3022-1-2016,Lineal Alkyl Bencene (LAB),(i) LAB produced in facilities of Brazil(ii) Production Emissions given per tonne of LAB,"Compañía Española de Petróleos, S.A.U. CEPSA",Chemicals,1000.0,6109.0,Spain,2016
3022-2-2016,Lineal Alkyl Bencene (LAB),(i) LAB produced in facilities of Puente Mayorga (ii) Production Emissions given per tonne of LAB,"Compañía Española de Petróleos, S.A.U. CEPSA",Chemicals,1000.0,890.0,Spain,2016
30495-1-2016,E - Series Solar Panels (SPR-327NE-WHT-D AR modules),"SunPower® E-Series solar panels deliver efficient performance and long-lasting durability at a great value. Compared to other technologies, SunPower converts the greatest percentage of sunlight into electricity. This means that over the lifetime of your system, you’ll generate more electricity and save more money on your electricity bills. •More energy from less space: SunPower E-Series solar panels convert more sunlight into electricity than conventional panels, delivering 36% more power per panel. •More electricity: SunPower E-Series residential solar panels convert more sunlight to electricity over the life of your system than conventional panels. Which means you produce 60% more energy over 25 years and save more on your electricity bills, too. •More flexibility: Because E-Series residential solar panels generate more electricity from a smaller area, you can expand energy production simply by using additional roof space to add more panels later. •More peace of mind: More guaranteed power. SunPower offers the best combined power and product warranty over 25 years. •The panels are designed to deliver consistent, trouble-free energy over a very long lifetime.",SunPower Corporation,Comm. equipm. & capital goods,18.6,281.0,USA,2016
31487-1-2013,Droid Razr,[no detail provided],Motorola Mobility,"Home durables, textiles, & equipment",0.127,29.96,USA,2013
3193-1-2013,"50” TFT-LCD TV module which consisted of the following main components: PCBA, converter, TFT-LCD panel, LED backlight",[same as product_name],Innolux Corporation,"Computer, IT & telecom",14.96,145.0,Taiwan,2013
32738-1-2015,Vending Machine,"Can/Bottle vending machine - 30 Selections, Cooling / Warming, Heat Pump Refrigeration System, LED Lighting",Sanden,Comm. equipm. & capital goods,342.462,2268.1,Japan,2015
32838-1-2016,sodium sulphate,[same as product_name],Crimidesa,Chemicals,1000.0,140.0,Spain,2016
3329-2-2013,IP Phone,[no detail provided],"Cisco Systems, Inc.","Computer, IT & telecom",3.5,278.0,USA,2013
3329-3-2013,Small Rack Mount Switch,[no detail provided],"Cisco Systems, Inc.","Computer, IT & telecom",2.0,1473.0,USA,2013
33496-2-2016,Walmart Brand Products,"Walmart Brand Product Emissions (Reported in kg CO2e/lb units)  12-Grain Bread, Honey Oatmeal Bread, Yeasty Dinner Rolls, Seeded Rye Bread, Pumpernickel Bread",Perfection Bakeries Inc.,Food & Beverage,0.454,0.141,USA,2016
3435-1-2016,GMP (5'-Guanylate),Flavor enhancer,CJ Cheiljedang,Food & Beverage,1000.0,24839.0,South Korea,2016
3435-2-2016,I&G (5'-Ribonucleotide),Flavor enhancer,CJ Cheiljedang,Food & Beverage,1000.0,21126.0,South Korea,2016
3435-3-2016,IMP (5'-Inosinate),Flavor enhancer,CJ Cheiljedang,Food & Beverage,1000.0,18042.0,South Korea,2016
3435-4-2016,L-Arginine,Food grade amino acid,CJ Cheiljedang,Food & Beverage,1000.0,26836.0,South Korea,2016
3435-5-2016,MSG (Monosodium Glutamate),Flavor enhancer,CJ Cheiljedang,Food & Beverage,1000.0,3859.0,South Korea,2016
3435-6-2016,SUGAR,Food Ingredients,CJ Cheiljedang,Food & Beverage,1000.0,114.8,South Korea,2016
